PO_ID,Order_Date,Supplier_ID,Supplier_Name,Product_ID,Product_Name,Category,Quantity,Unit_Cost_USD,Total_Cost_USD,Delivery_Date,On_Time_Delivery,Days_Late,Defects_Found,Defect_Rate_Percent,Payment_Status
PO_00001,9/22/2023,SUP_026,Unified Suppliers,PROD_010,Control Panel,Finished Parts,464,167.36,77655.41,1/1/2024,Yes,0,40,8.62,Paid
PO_00002,5/22/2024,SUP_022,Integrated Solutions,PROD_006,Electronic Component A,Raw Materials,378,174.39,65920.55,5/31/2024,Yes,0,51,13.49,Overdue
PO_00003,4/20/2024,SUP_049,Yearlong Materials,PROD_004,Rubber Gasket,Components,986,369.96,364781.77,7/16/2024,Yes,0,86,8.72,Paid
PO_00004,4/21/2023,SUP_049,Yearlong Materials,PROD_007,Electronic Component B,Components,770,362.19,278887.4,7/28/2023,No,10,52,6.75,Paid
PO_00005,6/8/2024,SUP_023,Modern Materials,PROD_004,Rubber Gasket,Components,221,350.26,77407.36,8/4/2024,Yes,0,8,3.62,Paid
PO_00006,6/21/2023,SUP_014,PrecisionParts Inc,PROD_023,Capacitor Bank,Finished Parts,907,394.84,358115.5,8/22/2023,No,0,133,14.66,Paid
PO_00007,9/11/2023,SUP_020,Strategic Partners,PROD_002,Aluminum Sheet,Finished Parts,205,243.62,49942.83,12/1/2023,Yes,0,8,3.9,Paid
PO_00008,5/17/2023,SUP_007,Elite Industries,PROD_002,Aluminum Sheet,Finished Parts,211,14.53,3066.78,7/16/2023,No,3,26,12.32,Pending
PO_00009,3/18/2024,SUP_039,Harmony Supply,PROD_009,Motor Shaft,Finished Parts,776,406.21,315220.09,6/15/2024,Yes,0,115,14.82,Pending
PO_00010,4/19/2023,SUP_048,Xenon Suppliers,PROD_011,LED Assembly,Raw Materials,619,295.92,183175.28,7/19/2023,Yes,0,29,4.68,Pending
PO_00011,2/11/2023,SUP_032,Streamline Supply,PROD_025,Wiring Harness,Hardware,34,118.63,4033.53,4/9/2023,No,0,0,0,Overdue
PO_00012,1/16/2023,SUP_001,Global Materials Inc,PROD_023,Capacitor Bank,Finished Parts,502,320.48,160881.56,3/6/2023,No,0,38,7.57,Overdue
PO_00013,7/26/2024,SUP_045,Velocity Supply,PROD_004,Rubber Gasket,Components,900,277.36,249621.75,10/30/2024,Yes,0,130,14.44,Pending
PO_00014,6/18/2024,SUP_019,Century Components,PROD_012,Power Supply,Finished Parts,435,399.65,173849.35,8/28/2024,Yes,0,52,11.95,Paid
PO_00015,3/15/2024,SUP_048,Xenon Suppliers,PROD_025,Wiring Harness,Hardware,613,337.43,206842.27,6/18/2024,Yes,0,30,4.89,Paid
PO_00016,8/10/2024,SUP_010,Advanced Logistics,PROD_002,Aluminum Sheet,Finished Parts,898,160.99,144569.61,11/6/2024,Yes,0,81,9.02,Paid
PO_00017,10/4/2024,SUP_001,Global Materials Inc,PROD_016,Metal Frame,Hardware,933,283.58,264581.86,11/23/2024,Yes,0,64,6.86,Pending
PO_00018,8/14/2024,SUP_040,Pinnacle Suppliers,PROD_013,Connector Cable,Finished Parts,979,248.63,243411.43,10/27/2024,Yes,0,146,14.91,Paid
PO_00019,12/11/2023,SUP_025,Premium Components,PROD_025,Wiring Harness,Hardware,823,349.97,288021.49,2/28/2024,Yes,0,112,13.61,Paid
PO_00020,12/9/2023,SUP_050,Zephyr Components,PROD_001,Steel Bolts,Hardware,335,495.52,165999.39,2/12/2024,Yes,0,14,4.18,Paid
PO_00021,3/1/2023,SUP_032,Streamline Supply,PROD_014,Circuit Board,Finished Parts,176,134.02,23588.1,5/12/2023,Yes,0,3,1.7,Paid
PO_00022,12/8/2023,SUP_027,Continental Materials,PROD_021,Switch Assembly,Finished Parts,847,258.98,219355,1/25/2024,Yes,0,28,3.31,Paid
PO_00023,10/31/2024,SUP_009,Standard Parts Co,PROD_024,Transformer Core,Raw Materials,471,228.89,107808.21,12/7/2024,Yes,0,19,4.03,Paid
PO_00024,4/11/2023,SUP_007,Elite Industries,PROD_006,Electronic Component A,Raw Materials,368,12.31,4530.05,6/21/2023,Yes,0,35,9.51,Pending
PO_00025,7/19/2023,SUP_012,Industrial Solutions,PROD_023,Capacitor Bank,Finished Parts,954,112.14,106978.45,8/19/2023,No,7,56,5.87,Paid
